# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240701
# 종료일: 20240731
페이지 경로 및 화면 클래스,세션 새채널그룹,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/3709,Organic Search,15,17,9,1.6666666666666667,29.666666666666668,67,0,0
/global/archives/489,Organic Search,15,13,13,1.1538461538461537,56,67,0,0
/global/archives/9668,Direct,15,15,14,1.0714285714285714,9.142857142857142,64,0,0
/global/archives/category/people/inno-people,Direct,15,9,9,1.6666666666666667,27.11111111111111,58,0,0
/global/archives/tag/sk-global-forum,Organic Search,15,11,11,1.3636363636363635,29,64,0,0
/global/archives/10835,Organic Search,14,14,10,1.4,16.2,57,0,0
/global/archives/14755,Organic Search,14,13,10,1.4,22.6,54,0,0
/global/archives/15592,Organic Search,14,12,11,1.2727272727272727,10.818181818181818,61,0,0
/global/archives/16025,Direct,14,11,10,1.4,5,56,0,0
/global/archives/16286,Organic Search,14,14,13,1.0769230769230769,20.923076923076923,58,0,0
/global/archives/16480,Organic Search,14,15,13,1.0769230769230769,34.53846153846154,60,0,0
/global/archives/17216,Referral,14,15,12,1.1666666666666667,5,58,0,0
/global/archives/17313,Organic Search,14,20,12,1.1666666666666667,25.5,59,0,0
/global/archives/17595,Referral,14,10,9,1.5555555555555556,22.11111111111111,54,0,0
/global/archives/17817,Paid Search,14,14,2,7,0,44,0,0
/global/archives/18140,Direct,14,13,13,1.0769230769230769,0.07692307692307693,52,0,0
/global/archives/18140,Referral,14,13,11,1.2727272727272727,77.72727272727273,66,0,0
/global/archives/18301,Direct,14,15,13,1.0769230769230769,89.6923076923077,56,0,0
/global/archives/18571,Organic Social,14,13,12,1.1666666666666667,8.083333333333334,57,0,0
/global/archives/2329,Organic Search,14,16,12,1.1666666666666667,47.25,59,0,0
/global/archives/6253,Organic Search,14,11,11,1.2727272727272727,55.54545454545455,66,0,0
/global/archives/7961,Organic Search,14,15,11,1.2727272727272727,81.72727272727273,61,0,0
/global/archives/9548,Organic Search,14,14,12,1.1666666666666667,64.33333333333333,61,0,0
/global/archives/category/corporates/sk-enmove,Direct,14,13,12,1.1666666666666667,16.416666666666668,58,0,0
/global/archives/category/corporates/sk-enterm,Referral,14,9,6,2.3333333333333335,13.833333333333334,51,0,0
/global/archives/category/corporates/sk-incheon-petrochem,Organic Search,14,12,8,1.75,23.875,55,0,0
/global/archives/category/corporates/sk-rading-international,Referral,14,8,5,2.8,35.4,51,0,0
/global/archives/tag/skeo,Organic Search,14,16,13,1.0769230769230769,10.23076923076923,71,0,0
/global/archives/tag/solid-power,Organic Search,14,10,10,1.4,37.7,68,0,0
/global/privacy-policy,Direct,14,11,8,1.75,22.625,56,0,0
/global/archives/10133,Organic Search,13,12,11,1.1818181818181819,26.818181818181817,59,0,0
/global/archives/10913,Organic Search,13,13,13,1,30.846153846153847,59,0,0
/global/archives/11004,Organic Search,13,13,10,1.3,52.6,58,0,0
/global/archives/11087,Referral,13,13,12,1.0833333333333333,29.5,62,0,0
/global/archives/11527,Organic Search,13,17,12,1.0833333333333333,12.333333333333334,60,0,0
/global/archives/12220,Organic Search,13,15,13,1,12.307692307692308,59,0,0
/global/archives/14800,Organic Search,13,13,13,1,81.76923076923077,66,0,0
/global/archives/14962,Organic Search,13,12,9,1.4444444444444444,26.11111111111111,57,0,0
/global/archives/15374,Referral,13,12,11,1.1818181818181819,83.18181818181819,60,0,0
/global/archives/16939,Organic Search,13,14,12,1.0833333333333333,30.25,64,0,0
/global/archives/17446,Organic Search,13,15,12,1.0833333333333333,46,63,0,0
/global/archives/17499,Direct,13,13,10,1.3,17,55,0,0
/global/archives/17595,Direct,13,9,9,1.4444444444444444,13.333333333333334,45,0,0
/global/archives/17989,Organic Search,13,13,13,1,55,46,0,0
/global/archives/18022,Referral,13,14,13,1,40,68,0,0
/global/archives/18374,Referral,13,14,10,1.3,130.8,49,0,0
/global/archives/18546,Unassigned,13,12,10,1.3,17.8,52,0,0
/global/archives/5892,Organic Search,13,12,12,1.0833333333333333,26.166666666666668,62,0,0
