# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: SK이노베이션(한글)
# 속성: SK이노베이션 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240201
# 종료일: 20240229
페이지 경로 및 화면 클래스,세션 소스,조회수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,전환,총 수익
/archives/113289,google,23,22,1.0454545454545454,61.95454545454545,100,0,0
/archives/113632,google,23,22,1.0454545454545454,34.22727272727273,99,0,0
/archives/113998,sk-on.com,23,16,1.4375,99.1875,84,0,0
/archives/114065,google,23,18,1.2777777777777777,152.55555555555554,93,0,0
/archives/23352,google,23,21,1.0952380952380953,16.857142857142858,108,0,0
/archives/51077,naver,23,19,1.2105263157894737,82.42105263157895,119,0,0
/archives/7268,google,23,19,1.2105263157894737,61.63157894736842,113,0,0
/archives/80568,google,23,21,1.0952380952380953,17.857142857142858,112,0,0
/archives/83166,google,23,20,1.15,24.65,104,0,0
/archives/category/business/sk-energy,(direct),23,20,1.15,15.15,103,0,0
/archives/category/business/sk-geo-centric,naver,23,15,1.5333333333333334,16.533333333333335,87,0,0
/archives/category/industry-and-insight/inno-column,naver,23,15,1.5333333333333334,30.533333333333335,86,0,0
/archives/category/press/notice,google,23,18,1.2777777777777777,10.555555555555555,84,0,0
/archives/category/press/press-release,sk-on.com,23,16,1.4375,34.4375,91,0,0
/,skinnovation.co.kr,22,9,2.4444444444444446,57.44444444444444,104,0,0
/archives/103803,google,22,20,1.1,56.65,105,0,0
/archives/107557,skenergy.com,22,16,1.375,32.875,99,0,0
/archives/109462,google,22,19,1.1578947368421053,34,105,0,0
/archives/111978,google,22,21,1.0476190476190477,23.714285714285715,115,0,0
/archives/113925,naver,22,14,1.5714285714285714,49.285714285714285,86,0,0
/archives/13682,google,22,20,1.1,46,108,0,0
/archives/36348,google,22,20,1.1,26.9,99,0,0
/archives/93757,google,22,14,1.5714285714285714,36.5,104,0,0
/archives/94311,google,22,18,1.2222222222222223,42.111111111111114,99,0,0
/archives/97264,google,22,22,1,23.954545454545453,115,0,0
/archives/category/business/sk-innovation,sk-on.com,22,9,2.4444444444444446,33.111111111111114,84,0,0
/archives/category/field-news,naver,22,18,1.2222222222222223,39.5,83,0,0
/archives/category/industry-and-insight,naver,22,13,1.6923076923076923,18.46153846153846,87,0,0
/archives/category/social-news,(direct),22,22,1,12.181818181818182,116,0,0
/archives/tag/sk-battery-america,google,22,12,1.8333333333333333,22,95,0,0
/archives/tag/sk경영경제연구소,google,22,11,2,11.090909090909092,95,0,0
/archives/101258,google,21,18,1.1666666666666667,64.94444444444444,81,0,0
/archives/111929,google,21,17,1.2352941176470589,40.94117647058823,87,0,0
/archives/112418,skenergy.com,21,14,1.5,47.785714285714285,77,0,0
/archives/113520,naver,21,20,1.05,40.05,93,0,0
/archives/114038,instagram,21,17,1.2352941176470589,0,81,0,0
/archives/21617,google,21,20,1.05,51.65,109,0,0
/archives/27825,google,21,19,1.105263157894737,34.578947368421055,113,0,0
/archives/34624,google,21,17,1.2352941176470589,54.588235294117645,97,0,0
/archives/69357,google,21,19,1.105263157894737,22,98,0,0
/archives/83181,google,21,20,1.05,85.15,100,0,0
/archives/category/business/sk-innovation,naver.com,21,8,2.625,21.625,64,0,0
/,newsletter,20,7,2.857142857142857,39,77,0,0
/archives/105821,google,20,12,1.6666666666666667,9,76,0,0
/archives/106626,google,20,18,1.1111111111111112,23.27777777777778,93,0,0
/archives/110382,google,20,18,1.1111111111111112,36.22222222222222,96,0,0
/archives/110536,google,20,17,1.1764705882352942,6,93,0,0
/archives/113159,(direct),20,17,1.1764705882352942,61.705882352941174,73,0,0
/archives/113520,(direct),20,17,1.1764705882352942,50.705882352941174,88,0,0
/archives/114084,(direct),20,17,1.1764705882352942,29.647058823529413,74,0,0
/archives/114118,google,20,16,1.25,30.6875,81,0,0
/archives/72120,google,20,16,1.25,35.5,92,0,0
/archives/80564,google,20,16,1.25,110,82,0,0
/archives/85006,google,20,15,1.3333333333333333,27.266666666666666,92,0,0
/archives/96864,(direct),20,18,1.1111111111111112,31.27777777777778,87,0,0
/archives/98107,(direct),20,16,1.25,39.8125,83,0,0
/archives/category/business/sk-enmove,(direct),20,9,2.2222222222222223,27,80,0,0
/archives/10179,google,19,17,1.1176470588235294,62.94117647058823,88,0,0
/archives/112418,naver,19,16,1.1875,34.375,85,0,0
/archives/113297,google,19,16,1.1875,11.3125,76,0,0
/archives/113855,(direct),19,16,1.1875,56.9375,87,0,0
/archives/114094,google,19,15,1.2666666666666666,45.8,77,0,0
/archives/50461,google,19,12,1.5833333333333333,63,78,0,0
/archives/96339,google,19,17,1.1176470588235294,25.294117647058822,89,0,0
/archives/96864,naver,19,18,1.0555555555555556,65.44444444444444,91,0,0
/archives/9705,google,19,17,1.1176470588235294,28.58823529411765,95,0,0
/archives/9807,google,19,16,1.1875,27.5,80,0,0
/archives/category/business/sk-ietechnology,skietechnology.com,19,9,2.111111111111111,63,68,0,0
/archives/100739,google,18,16,1.125,41.5,74,0,0
/archives/102756,google,18,15,1.2,40.86666666666667,75,0,0
/archives/102835,google,18,15,1.2,110.73333333333333,94,0,0
/archives/104532,google,18,12,1.5,38.25,77,0,0
/archives/10557,google,18,16,1.125,41,91,0,0
